Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
CPU,CM8068403358413,Intel,Core i7-8700T,141,80.8,4254,https://cpu.userbenchmark.com/SpeedTest/480804/IntelR-CoreTM-i7-8700T-CPU---240GHz
CPU,,Intel,Core i7-10850H,142,80.6,3485,https://cpu.userbenchmark.com/SpeedTest/1160496/IntelR-CoreTM-i7-10850H-CPU---270GHz
CPU,,Intel,Xeon E3-1286 v3,143,80.6,22,https://cpu.userbenchmark.com/SpeedTest/33047/IntelR-XeonR-CPU-E3-1286-v3---370GHz
CPU,BX80633I74960X,Intel,Core i7-4960X,144,80.5,4042,https://cpu.userbenchmark.com/Intel-Core-i7-4960X/Rating/1977
CPU,,Intel,Xeon E3-1245 v6,145,80.5,451,https://cpu.userbenchmark.com/SpeedTest/299743/IntelR-XeonR-CPU-E3-1245-v6---370GHz
CPU,,Intel,Core i7-8809G,146,80.5,3215,https://cpu.userbenchmark.com/SpeedTest/422264/IntelR-CoreTM-i7-8809G-CPU---310GHz
CPU,BX80673I97980X,Intel,Core i9-7980XE,147,80.5,4145,https://cpu.userbenchmark.com/SpeedTest/352013/IntelR-CoreTM-i9-7980XE-CPU---260GHz
CPU,,Intel,Xeon E3-1270 v6,148,80.3,500,https://cpu.userbenchmark.com/SpeedTest/278175/IntelR-XeonR-CPU-E3-1270-v6---380GHz
CPU,,Intel,Core i7-9850H,149,80.2,7446,https://cpu.userbenchmark.com/SpeedTest/826055/IntelR-CoreTM-i7-9850H-CPU---260GHz
CPU,,AMD,Ryzen 5 4600HS,150,80.2,958,https://cpu.userbenchmark.com/SpeedTest/1134526/AMD-Ryzen-5-4600HS-with-Radeon-Graphics
CPU,BX80648I75820K,Intel,Core i7-5820K,151,80,96798,https://cpu.userbenchmark.com/Intel-Core-i7-5820K/Rating/2579
CPU,,Intel,Core i7-11370H,152,80,6014,https://cpu.userbenchmark.com/SpeedTest/1444990/11th-Gen-IntelR-CoreTM-i7-11370H---330GHz
CPU,,Intel,Core i5-10200H,153,79.8,2483,https://cpu.userbenchmark.com/SpeedTest/1303113/IntelR-CoreTM-i5-10200H-CPU---240GHz
CPU,CL8068404069006,Intel,Core i9-9880H,154,79.8,8265,https://cpu.userbenchmark.com/SpeedTest/750169/IntelR-CoreTM-i9-9880H-CPU---230GHz
CPU,BX80684I39100F,Intel,Core i3-9100F,155,79.8,84133,https://cpu.userbenchmark.com/Intel-Core-i3-9100F/Rating/4054
CPU,,Intel,Core i5-10400T,156,79.7,547,https://cpu.userbenchmark.com/SpeedTest/1189479/IntelR-CoreTM-i5-10400T-CPU---200GHz
CPU,BX80677I77700,Intel,Core i7-7700,157,79.6,239198,https://cpu.userbenchmark.com/Intel-Core-i7-7700/Rating/3887
CPU,,Intel,Core i7 X 990,158,79.6,2928,https://cpu.userbenchmark.com/SpeedTest/2590/IntelR-CoreTM-i7-CPU-------X-990----347GHz
CPU,YD292XA8AFWOF,AMD,Ryzen TR 2920X,159,79.6,2940,https://cpu.userbenchmark.com/SpeedTest/625966/AMD-Ryzen-Threadripper-2920X-12-Core-Processor
CPU,,Intel,Core i7-11375H,160,79.3,280,https://cpu.userbenchmark.com/SpeedTest/1462657/11th-Gen-IntelR-CoreTM-i7-11375H---330GHz
CPU,YD260XBCAFBOX,AMD,Ryzen 5 2600X,161,79.2,318546,https://cpu.userbenchmark.com/AMD-Ryzen-5-2600X/Rating/3956
CPU,,Intel,Xeon E5-1650 v3,162,79.2,5102,https://cpu.userbenchmark.com/SpeedTest/16320/IntelR-XeonR-CPU-E5-1650-v3---350GHz
CPU,BX80673I77800X,Intel,Core i7-7800X,163,79.1,18480,https://cpu.userbenchmark.com/SpeedTest/304816/IntelR-CoreTM-i7-7800X-CPU---350GHz
CPU,YD295XA8UGAAF,AMD,Ryzen TR 2950X,164,79,8867,https://cpu.userbenchmark.com/SpeedTest/569025/AMD-Ryzen-Threadripper-2950X-16-Core-Processor
CPU,100-000000100,AMD,Ryzen 5 4600H,165,78.9,35035,https://cpu.userbenchmark.com/SpeedTest/1110331/AMD-Ryzen-5-4600H-with-Radeon-Graphics
CPU,BX80662I56600K,Intel,Core i5-6600K,166,78.9,344946,https://cpu.userbenchmark.com/Intel-Core-i5-6600K/Rating/3503
CPU,,Intel,Core i5-10300H,167,78.9,54912,https://cpu.userbenchmark.com/SpeedTest/1027882/IntelR-CoreTM-i5-10300H-CPU---250GHz
CPU,,Intel,Core i7-3970X,168,78.9,2455,https://cpu.userbenchmark.com/SpeedTest/6794/IntelR-CoreTM-i7-3970X-CPU---350GHz
CPU,,Intel,Core i5-10400H,169,78.9,360,https://cpu.userbenchmark.com/SpeedTest/1084904/IntelR-CoreTM-i5-10400H-CPU---260GHz
CPU,,Intel,Core i5-9400H,170,78.8,557,https://cpu.userbenchmark.com/SpeedTest/843530/IntelR-CoreTM-i5-9400H-CPU---250GHz
CPU,BX80646I54690K,Intel,Core i5-4690K,171,78.8,215811,https://cpu.userbenchmark.com/Intel-Core-i5-4690K/Rating/2432
CPU,BX80619I73960X,Intel,Core i7-3960X,172,78.8,2015,https://cpu.userbenchmark.com/Intel-Core-i7-3960X/Rating/1973
CPU,BX80684I38300,Intel,Core i3-8300,173,78.8,1791,https://cpu.userbenchmark.com/SpeedTest/484077/IntelR-CoreTM-i3-8300-CPU---370GHz
CPU,,Intel,Core i3-10100T,174,78.7,260,https://cpu.userbenchmark.com/SpeedTest/1260090/IntelR-CoreTM-i3-10100T-CPU---300GHz
CPU,BX80633I74930K,Intel,Core i7-4930K,175,78.6,20635,https://cpu.userbenchmark.com/Intel-Core-i7-4930K/Rating/1976
CPU,CL8068404121817,Intel,Core i7-9750H,176,78.5,260762,https://cpu.userbenchmark.com/SpeedTest/766364/IntelR-CoreTM-i7-9750H-CPU---260GHz
CPU,BX80646I74770K,Intel,Core i7-4770K,177,78.4,168671,https://cpu.userbenchmark.com/Intel-Core-i7-4770K/Rating/1537
CPU,BX80677I57600,Intel,Core i5-7600,178,78.4,39944,https://cpu.userbenchmark.com/Intel-Core-i5-7600/Rating/3890
CPU,,Intel,Core i7-5775R,179,78.3,146,https://cpu.userbenchmark.com/SpeedTest/39919/IntelR-CoreTM-i7-5775R-CPU---330GHz
CPU,,Intel,Xeon E5-1650 v2,180,78.3,10182,https://cpu.userbenchmark.com/SpeedTest/7574/IntelR-XeonR-CPU-E5-1650-v2---350GHz
CPU,,Intel,Core i7-5950HQ,181,78.2,159,https://cpu.userbenchmark.com/SpeedTest/29765/IntelR-CoreTM-i7-5950HQ-CPU---290GHz
CPU,,Intel,Xeon E3-1230 v6,182,78.1,411,https://cpu.userbenchmark.com/SpeedTest/268848/IntelR-XeonR-CPU-E3-1230-v6---350GHz
CPU,YD297XAZAFWOF,AMD,Ryzen TR 2970WX,183,77.8,1240,https://cpu.userbenchmark.com/SpeedTest/626249/AMD-Ryzen-Threadripper-2970WX-24-Core-Processor
CPU,BX80646I54670K,Intel,Core i5-4670K,184,77.7,127584,https://cpu.userbenchmark.com/Intel-Core-i5-4670K/Rating/1538
CPU,FH8068403419332,Intel,Core i7-8559U,185,77.7,1955,https://cpu.userbenchmark.com/SpeedTest/543591/IntelR-CoreTM-i7-8559U-CPU---270GHz
CPU,,Intel,Xeon W3690,186,77.4,4015,https://cpu.userbenchmark.com/SpeedTest/9677/IntelR-XeonR-CPU-----------W3690----347GHz
CPU,,Intel,Xeon E3-1271 v3,187,77.3,1197,https://cpu.userbenchmark.com/SpeedTest/17463/IntelR-XeonR-CPU-E3-1271-v3---360GHz
CPU,,Intel,Core i5-11300H,188,77.1,1630,https://cpu.userbenchmark.com/SpeedTest/1504890/11th-Gen-IntelR-CoreTM-i5-11300H---310GHz
CPU,BX80646E31276V3,Intel,Xeon E3-1276 v3,189,77.1,247,https://cpu.userbenchmark.com/SpeedTest/25180/IntelR-XeonR-CPU-E3-1276-v3---360GHz
CPU,,Intel,Xeon E3-1275 v3,190,77,303,https://cpu.userbenchmark.com/SpeedTest/5652/IntelR-XeonR-CPU-E3-1275-v3---350GHz
CPU,,Intel,Core i3-10300T,191,77,4,https://cpu.userbenchmark.com/SpeedTest/1290166/IntelR-CoreTM-i3-10300T-CPU---300GHz
CPU,,Intel,Xeon W3680,192,76.7,4508,https://cpu.userbenchmark.com/SpeedTest/12335/IntelR-XeonR-CPU-----------W3680----333GHz
CPU,BX80637I73770K,Intel,Core i7-3770K,193,76.7,164935,https://cpu.userbenchmark.com/Intel-Core-i7-3770K/Rating/1317
CPU,CM8068403362509,Intel,Core i5-8500T,194,76.7,3348,https://cpu.userbenchmark.com/SpeedTest/532888/IntelR-CoreTM-i5-8500T-CPU---210GHz
CPU,CL8068403359524,Intel,Core i7-8750H,195,76.6,360654,https://cpu.userbenchmark.com/SpeedTest/470418/IntelR-CoreTM-i7-8750H-CPU---220GHz
CPU,BX80619I73930K,Intel,Core i7-3930K,196,76.5,34822,https://cpu.userbenchmark.com/Intel-Core-i7-3930K/Rating/1487
CPU,CL8068403359725,Intel,Core i7-8850H,197,76.5,16337,https://cpu.userbenchmark.com/SpeedTest/485626/IntelR-CoreTM-i7-8850H-CPU---260GHz
CPU,,Intel,Xeon E3-1230 v5,198,76.5,1668,https://cpu.userbenchmark.com/SpeedTest/72554/IntelR-XeonR-CPU-E3-1230-v5---340GHz
CPU,BX80646I54690,Intel,Core i5-4690,199,76.4,63037,https://cpu.userbenchmark.com/Intel-Core-i5-4690/Rating/2311
CPU,BX80646I74790,Intel,Core i7-4790,200,76.4,249438,https://cpu.userbenchmark.com/Intel-Core-i7-4790/Rating/2293
