id,manufacturer,model,segment
6003866ba37b1acb2d7d714f,AMD,Radeon Pro WX 2100,Desktop
6003866ba37b1acb2d7d72bc,NVIDIA,GeForce GT 1030,Desktop
6003866ba37b1acb2d7d7150,AMD,Radeon Pro Duo Polaris,Desktop
6003866ba37b1acb2d7d70cf,AMD,Radeon RX 550,Desktop
6003866ba37b1acb2d7d70ce,AMD,Radeon 550,Desktop
6003866ba37b1acb2d7d70d2,AMD,Radeon RX 580,Desktop
6003866ba37b1acb2d7d70d1,AMD,Radeon RX 570,Desktop
6003866ba37b1acb2d7d70d0,AMD,Radeon RX 560,Desktop
6003866ba37b1acb2d7d72bf,NVIDIA,TITAN Xp,Desktop
6003866ba37b1acb2d7d72c0,NVIDIA,GeForce GTX 1080 Ti,Desktop
6003866ba37b1acb2d7d7151,AMD,Radeon Pro WX 5100,Desktop
6003866ba37b1acb2d7d7153,AMD,Radeon Pro WX 7100,Desktop
6003866ba37b1acb2d7d7152,AMD,Radeon Pro WX 4100,Desktop
6003866ba37b1acb2d7d7217,NVIDIA,GeForce GTX 760 OEM,Desktop
6003866ba37b1acb2d7d72c3,NVIDIA,GeForce GTX 1050 Ti,Desktop
6003866ba37b1acb2d7d72c2,NVIDIA,GeForce GTX 1050,Desktop
6003866ba37b1acb2d7d70b3,AMD,Radeon RX 470D,Desktop
6003866ba37b1acb2d7d72c4,NVIDIA,GeForce GTX 1060 3 GB,Desktop
6003866ba37b1acb2d7d70b4,AMD,Radeon RX 460,Desktop
6003866ba37b1acb2d7d70b5,AMD,Radeon RX 470,Desktop
6003866ba37b1acb2d7d72c5,NVIDIA,TITAN X Pascal,Desktop
6003866ba37b1acb2d7d72c6,NVIDIA,GeForce GTX 1060 6 GB,Desktop
